Time, Tempature, Motion,
1:45AM, 62.6, 4,
1:46AM, 62.6, 4,
Z:19PM, 75.2, 4,
3:20PM, 75.2, 4,
3:20PM, 75.2, 4,
3:22PM, 75.2, 4,
3:23PM, 75.2, 4,
3:23PM, 75.2, 4,
3:24PM, 75.2, 4,
Z
